s2_cellid,men,women
10836446974526357504,1144979854.7494774,1241440938.8772464
10836447111965310976,138221266.28808415,149865989.24137917
10836447215044526080,963984.2312321503,1045196.9823919276
10836447249404264448,571477635.5168861,619622895.0584126
10836447283764002816,1429303735.6471865,1549718245.4016523
10836447318123741184,84169322.4702825,91260332.9034396
10836447352483479552,1629294438.295363,1767507037.6766756
10836447386843217920,789533566.4958135,856534701.9659665
10836447421202956288,923474408.1287733,1134414926.893045
10836447455562694656,2126306041.1256423,2611645934.8396506
10836447489922433024,2045165465.2823093,2253344241.495319
10836447524282171392,2040367403.8990216,2238700749.7504787
10836447558641909760,2208971790.2106047,2419200686.37562
10836447593001648128,1681838419.3853078,1840738137.0219774
10836447627361386496,1954378325.0646179,2302321120.1883435
10836447661721124864,1982097019.752261,2236071432.526023
10836447696080863232,2078856611.3444262,2409763075.3743796
10836447730440601600,1915019022.3833241,2366471606.0595264
10836447764800339968,1600258053.757894,2039670979.9631648
10836447799160078336,1533507645.5368974,1963949379.8781013
10836447833519816704,1689639614.4914734,2140537589.0319502
10836447867879555072,2066942796.8855002,2346572012.4973154
10836447902239293440,2221132158.4901066,2802782939.743807
10836447936599031808,2094528630.0832553,2717025001.7120676
10836447970958770176,1602504376.0499623,2057523104.9309533
10836448005318508544,2386194168.4964924,2825972885.73632
10836448039678246912,2460905577.346125,2897142429.0281296
10836448074037985280,1843261807.0156353,2169710075.529328
10836448108397723648,1999914605.550142,2391086173.5256796
10836448142757462016,2285134516.5856667,2851581477.26019
10836448177117200384,2004586236.7097733,2463368734.1438227
10836448211476938752,2607422807.2164288,3179208624.0145607
10836448245836677120,1040462904.2355897,1268544307.6101286
10836448280196415488,115018615.09311864,140470272.833764
10836448348915892224,1979749.9414360928,2379081.894143636
10836448383275630592,80948679.20453995,97276697.9402783
10836448417635368960,1991632674.738612,2389305761.6703095
10836448451995107328,1822089518.1544366,2194506416.5505548
10836448486354845696,77634918.53568964,93305288.36512652
10836448623793799168,263064033.13387004,285226380.99165714
10836448658153537536,1028565025.4136709,1115218512.8403275
10836448692513275904,336653567.9975995,365015611.23340416
10836449688945688576,4984836.324636478,5247196.131196292
10836449895104118784,239980368.09078315,252610913.77977175
10836449963823595520,1950405695.193974,2418591234.197383
10836449998183333888,1595469075.3465486,1900463395.7480688
10836450032543072256,1310568063.0930564,1513439352.5732577
10836450066902810624,269694835.5440095,283889300.57264155
10836450101262548992,380676139.9605644,410519679.1496633
10836450135622287360,1271810218.1153991,1381379324.1575987
10836450169982025728,1853538826.0373132,1986788420.340364
10836450204341764096,1791595235.5530941,1939547435.197612
10836450238701502464,2128981976.315796,2445188875.348715
10836450273061240832,1663224264.2112288,1819683003.2057788
10836450307420979200,1724236861.9911087,1896529213.5160148
10836450341780717568,2412972682.8700867,2510760179.657358
10836450376140455936,1452648635.4595304,1708056441.2989419
10836450410500194304,1539340935.0727422,1827796732.830298
10836450444859932672,1305062589.655918,1588090494.9525461
10836450479219671040,1245567590.3262346,1551874413.9367054
10836450513579409408,1702397844.7512891,2136524588.9254608
10836450547939147776,1345959221.9886892,1682776753.8591723
10836450582298886144,1488950579.920584,1812346127.2492428
