s2_cellid,18-25,26-35,36-45,46-55,56-65,66-75,75+
10836461371256733696,348828266.7702343,433646098.7588871,310600511.5077428,372720613.8092914,336882093.2507057,229366531.57494855,185165689.55269286
10836461405616472064,7767296.678654448,9655920.186135495,6916086.083733413,8299303.300480096,7501293.367741625,5107263.569526212,4123051.3191487654
10836461474335948800,2132197.796441005,2650643.151055085,1898532.2845022648,2278238.741402718,2059177.323960149,1401993.0716324418,1131817.3234532734
10836461543055425536,198470526.64002752,422972179.8070947,334273372.66361845,168526986.92384884,72182543.17560948,29808211.191137087,13316605.97567405
10836461577415163904,853240162.2190366,1712736565.461455,1526667274.939517,796477691.2492814,429764279.2094203,207501079.64849788,121041917.75386971
10836461680494379008,65217993.56752828,79527252.85334171,69669872.49156745,63756731.17845542,45387764.7915521,21981253.688382983,12208444.674956728
10836461714854117376,12817098.766598314,24530984.97011418,23948389.571632437,12779911.826269692,7809257.469010578,4016189.555491154,2541107.5891224896
10836461749213855744,1344800203.5629263,2573848745.5038986,2512721463.5237656,1340898462.159939,819365694.6273148,421388071.52261907,266618995.87079293
10836461783573594112,1058660305.6991974,2028464474.471314,1989392688.59213,1058551977.4709641,643092887.3890704,327036266.0677463,206671257.56601253
10836461921012547584,90741677.54749937,176180451.74789882,187832307.5061842,95741810.54422028,52574786.55004908,21102374.563714765,12667316.685133822
10836461955372285952,295203969.51161236,577960444.5240242,616293494.2597619,311293936.2556361,168812741.67387784,65673833.1064629,40124088.76537567
10836461989732024320,686668645.2437997,1228525041.8898969,1262540818.7287095,686090603.4107304,417016119.6615572,207190573.42503393,122849699.83549137
10836462024091762688,191960309.7660042,340434409.32146645,354241649.10753036,200895269.03651053,126857826.5610781,67494823.31868552,36495964.73144948
10836462058451501056,463851917.15311134,510787228.55408686,687704208.9790835,449040722.92516065,237344598.88251293,99321603.96774998,52681169.12296753
10836462092811239424,802985674.791329,1035561004.618547,1159419598.0431335,751666881.9567453,516378050.4873232,298906636.4222365,152468957.27045512
10836462127170977792,1359665987.6588445,2593358001.234463,2539585729.368869,1356475129.5968704,826916095.9257098,424622392.54631525,267772496.87728474
10836462161530716160,1362376879.144157,2607489210.66372,2545562988.8844404,1358424141.5837774,830074887.6797088,426895656.5209931,270103733.2926037
10836462195890454528,1151634361.9949343,2255091678.317908,2108589615.5159073,1113589156.0123146,644073686.7378911,322594637.1203733,197560001.0557201
10836462230250192896,731216236.7351555,1498163113.6131282,1282580205.5364726,661885237.33528,333969058.3303735,155016508.31800014,85394789.20312788
