s2_cellid,0,1,2,3,4,5,6,7,8,9
10836436494806155264,2500059.747625356,0.0,0.0,4375104.5583443735,8125194.179782407,8125194.179782407,26875642.28697258,202504839.55765384,231255526.65534544,9375224.053595085
10836436529165893632,5298292.703762284,0.0,0.0,9272012.231583996,17219451.287227422,17219451.287227422,56956646.56544455,429161709.00474495,490092075.09801126,19868597.639108565
10836436563525632000,7221642.842939459,0.0,2699593.7589629893,13101867.652465817,18788231.313851807,27730635.64041671,107960909.19744903,484393202.75672483,341266755.8324107,10335243.124955678
10836436666604847104,54332.34258346441,0.0,0.0,95081.59952106272,176580.11339625932,176580.11339625932,584072.6827722423,4400919.749260617,5025741.688970458,203746.28468799152
10836437113281445888,10222028.550498273,0.0,993949.938293004,17705428.062433694,16061077.532394264,40930677.83784842,137187263.71307313,753730607.5757759,752750998.9964054,22653680.951071747
10836437147641184256,91685423.95691149,0.0,25902702.55652914,139176616.14180005,203818126.7812175,311636971.2245364,890078742.168533,1686553229.73709,606586667.4853934,13824947.154748032
10836437182000922624,80230964.0045066,0.0,17033108.361712642,115620606.78291921,159472457.08490437,263450654.21552014,725430926.1983902,1595672838.054497,697695412.9015783,17027723.43330955
10836437216360660992,8548008.167984394,0.0,1171839.631723049,14999245.131611342,14783687.404382795,33246200.87806311,114468251.61779162,562231734.6518725,537393795.9079411,15989857.14743315
10836437250720399360,2464645.0320632467,0.0,848191.7161917775,4596240.082211984,6368079.140028954,8544043.27148502,32733003.476328794,68851198.7331411,39022537.913730346,1553810.440770067
10836437285080137728,42090525.94968564,0.0,14387529.18671003,77148575.43692754,109154625.69362555,147534903.9198501,562962378.1724617,1343728503.389646,1045356094.110439,49400985.69664925
10836437319439876096,5276585.089100927,0.0,1253931.3811930362,4875322.535995059,12284511.215565449,23194699.60736822,74811313.41861817,220486628.95166934,129984746.75369537,5142395.2704062
10836437731756736512,52157757.072543815,0.0,21391767.20923808,87854690.31453905,137397041.2386275,220348427.55895495,766478422.3263767,1828604738.9526,629615875.1469631,9362395.930424575
10836437766116474880,6912926.961343575,0.0,3156537.3336529625,9916950.302108044,14458902.860279735,22910575.425873004,90179336.67702606,291792562.3124596,113357661.51090881,1853297.3311791057
10836437800476213248,17530615.84669911,0.0,7667507.4298309125,26958182.782700654,33927348.2947972,71443803.35965498,277913255.0985335,1154030633.9715533,1598652443.5055172,88491904.54425678
10836437834835951616,40693852.22592739,0.0,15007458.342367925,68657413.37569004,103244478.55731519,186139395.27747095,571511021.1397035,1628816358.466144,1000103698.2241604,34148731.45589756
10836437869195689984,74503617.62317558,0.0,25277262.83479799,117045312.10200302,166914755.2232187,298849933.36107445,645136738.2236197,1213908483.4647198,488543714.6677298,14974198.454734677
10836437903555428352,51668152.67681629,0.0,15342040.033825379,78324673.35602424,120115273.40827096,206169991.1205594,570461266.564542,1461658054.805899,1130776456.7905672,51949550.97472325
10836437937915166720,6374049.867660287,0.0,1220872.4963568915,8722165.904463938,12206243.109483983,26992013.950412072,96739793.00588492,382459230.2373954,502352267.78967595,31499257.566772528
10836437972274905088,852828.6707965505,0.0,179345.34620871185,1337352.0818049659,1373722.9629845375,3699561.8372406927,13650487.687816035,60656406.00056606,72999038.78439416,2864296.584268162
10836438075354120192,28085218.561550643,0.0,6796991.188564398,41847392.94712169,77563149.1635287,134154461.07564108,472561581.8728677,1156247204.2964938,709179952.282501,32689091.831564996
10836438109713858560,38851945.613048136,0.0,9496844.14614245,61834058.1101266,103385011.54541355,186262574.6992767,587769056.609603,1543937055.6749468,1015737180.3081487,31599800.763111874
10836438144073596928,27454534.243319385,0.0,9448698.266904833,49437575.449292265,68495045.41454153,145105425.57965034,455832228.4544547,1290565579.4575949,1134123400.2122176,54938250.50468806
10836438178433335296,19860045.21866555,0.0,3952611.019421347,24824548.385368336,47856415.40926699,96384386.46493123,306013387.94576514,996224306.6862599,1264463047.6291678,86303384.851979
10836438212793073664,57114476.017493404,0.0,12521848.288636098,57866447.385898344,100141248.63518645,185924912.74194402,529125000.83752984,1442062416.4367285,1360165080.7003574,68312972.6994905
10836438247152812032,82182141.38503185,0.0,14268588.72898254,63259764.79820091,106324027.50478944,180446397.05132702,438678317.617259,1045303564.102141,1099365362.8516316,59860528.48896021
10836438281512550400,45199295.219942875,0.0,19050284.0357709,69972672.17728062,131698129.37412131,214047677.67756423,533385258.20639503,1459483592.5665553,1272781434.1560423,57372615.5478656
10836438315872288768,28506404.546812877,0.0,11168971.8444386,38961071.349257745,59003128.17634268,153060586.02701342,381434073.0839352,1257906624.8073912,1555330897.6144369,92054260.607061
10836438350232027136,71522281.9048322,0.0,13461093.165312279,72115273.29875886,113065765.00409956,183997574.75204134,592584317.2128848,1468800905.9560423,1162871830.8597732,44131930.99794473
10836438384591765504,84271359.93897478,0.0,22876076.772491686,112004141.17609729,154009942.83754578,264983730.039921,733412358.3635844,1575968567.2705371,637280833.7108681,17771935.130532164
10836438418951503872,59591528.91138749,0.0,19932443.19661207,117123159.4836554,166579682.72219685,281372243.6895853,660208891.384645,1413606367.3631728,676148048.1630799,21722402.945413157
10836438453311242240,92658123.85556546,0.0,30923013.548655506,130691125.82480273,173229991.30677587,260635150.87414104,805005837.8231598,1029146574.9842227,269509688.46468645,4574775.54923035
10836438487670980608,57189332.38757795,0.0,14668633.484740911,70454027.99312179,105893150.94530007,190655009.10854983,500751548.8698085,1243547388.2738504,945684701.7880208,40534422.19521868
10836438522030718976,29765807.721882597,0.0,6563017.198975949,47286022.076181486,65585639.49311868,140184747.99392062,431116902.44664794,1298671371.526646,1185250626.542819,42952886.3783952
10836438556390457344,25154719.36854886,0.0,4421508.302315698,34583305.46716434,62800489.8595108,122382738.20524003,387569793.16902304,1213293520.2714267,1138789289.2974815,51934201.195921354
