ORDEN,UN_ADMIN,REGION,UNIDAD TERRITORIAL,Robo_Violencia,Robo_Sorpresa,Robo_Fuerza,Robo_Vehiculo,Robo_Accesorios_V,Robo_Lugar_Habitado,Robo_Lugar_No_Habitado,Otros_Robos,Hurtos,Lesiones,Lesiones_Leves,Lesiones_Graves,Homicidio,Violación
396,PROVINCIA,13,Provincia de Chacabuco,1.006,250,2.986,232,946,1.032,740,36,1.286,1.103,830,273,15,41
397,COMUNA,13,Colina,622,180,1.839,133,800,481,402,23,827,596,428,168,10,26
398,COMUNA,13,Lampa,336,61,979,94,133,481,264,7,385,407,323,84,4,13
399,COMUNA,13,Tiltil,48,9,168,5,13,70,74,6,74,100,79,21,1,2
400,PROVINCIA,13,Provincia de Maipo,3.019,1.056,5.221,994,1.481,1.367,1.204,175,2.901,1.923,1.540,383,18,70
401,COMUNA,13,San Bernardo,2.559,814,3.440,833,1.171,627,675,134,1.961,1.301,1.048,253,12,45
402,COMUNA,13,Buin,213,154,979,97,195,399,271,17,513,320,257,63,3,12
403,COMUNA,13,Calera de Tango,79,15,303,31,68,119,79,6,93,94,66,28,0,3
404,COMUNA,13,Paine,168,73,499,33,47,222,179,18,334,208,169,39,3,10
405,PROVINCIA,13,Provincia de Melipilla,600,328,2.265,119,372,950,782,42,1.126,760,576,184,3,24
406,COMUNA,13,Melipilla,516,314,1.698,98,312,691,563,34,892,511,379,132,1,20
407,COMUNA,13,Alhué,5,2,38,2,1,18,16,1,15,29,26,3,1,0
408,COMUNA,13,Curacaví,52,11,329,15,55,137,116,6,165,144,112,32,1,2
409,COMUNA,13,María Pinto,14,1,87,2,1,46,38,0,25,52,43,9,0,2
410,COMUNA,13,San Pedro,13,0,113,2,3,58,49,1,29,24,16,8,0,0
411,PROVINCIA,13,Provincia de Talagante,554,261,2.183,142,350,986,652,53,1.160,1.004,781,223,9,29
412,COMUNA,13,Talagante,172,102,745,36,141,323,226,19,398,273,218,55,1,8
413,COMUNA,13,El Monte,48,16,251,9,16,111,113,2,99,99,68,31,2,1
414,COMUNA,13,Isla de Maipo,42,8,215,9,14,109,81,2,92,118,93,25,0,2
415,COMUNA,13,Padre Hurtado,121,32,373,41,75,182,66,9,169,170,138,32,3,7
416,COMUNA,13,Peñaflor,171,103,599,47,104,261,166,21,402,344,264,80,3,11
417,-,-,No especifica,29,10,58,1,0,26,20,11,89,26,20,6,0,195
